唱法/表演方式,10qunanjun.csv,10xundi.csv,11shouguanping.csv,11zhanchangsha.csv,12dandaohui.csv,12huoshaowangbopo.csv,13hanjinkou.csv,13shuiyanqijun.csv,14linjianghui.csv,14zoumaicheng.csv,15huarongdao.csv,15huijingzhou.csv,16sangumaolu.csv,16zhanchangsha.csv,17dandaohui.csv,18quxiangyang.csv,19shuiyanqijun.csv,1cipaozengma.csv,1sanrangxuzhou.csv,20guaguliaodu.csv,2baimapo.csv,2zhanhuaxiong.csv,3zhanchezhou.csv,3zhuwenchou.csv,4yuejunjiaodao.csv,4yuexiazhandiaochan.csv,5baqiaotiaopao.csv,5porunan.csv,6baqiaotiaopao.csv,6hanyangyuan.csv,7guowuguan.csv,7hanjinkou.csv,8shouzhoucang.csv,8xutianshelu.csv,9guchenghui.csv,9huarongdao.csv,BaiMaPo.csv,BaiMenLou (2).csv,BaiMenLou.csv,DanDaoFuHui.csv,DuoXiaoPei.csv,GuChengXianghui.csv,GuoWuGuan.csv,HanYangYuan.csv,HuLaoGuan.csv,HuaRongDao.csv,JianZhuGe.csv,MaTiaoTanXi.csv,MaiChengShengTian.csv,QingShiShan.csv,QuFanCheng.csv,SanGuMaoLu (2).csv,SanGuMaoLu.csv,SanJieYi.csv,SanQiuJi.csv,SanRangXuZhou.csv,ShuiJingZhuang.csv,TouLiuBiao.csv,XianXiChuan.csv,XiangYangYan.csv,XuTianSheLu.csv,YiQingZhuGe.csv,YuanMenSheJi.csv,ZengBieTiaoPao.csv,ZhanChangSha.csv,ZhanDiaoChan.csv,ZhanHuaXiong.csv,baimenlou (3).csv,biandaduyou.csv,chaisangkou.csv,chibi‘aobing.csv,chibi‘aobing·baben.csv,chibi‘aobing·qiben.csv,dandaofuhui (2).csv,dandaohui.csv,dandaohui·daohui.csv,dandaohui·xunzi.csv,guchenghui.csv,hulaoguan (2).csv,jingxiangfu.csv,qianlizoudanqi.csv,qingmeizhujiulunyingxiong.csv,sangumaolu (3).csv,taoyuanjieyi.csv,tuntushan.csv,yuanlvjieqin.csv,yuexiazandiaochan.csv,zaodaotoujun.csv,zhanchezhou.csv,zhanhuaxiong (2).csv,zhanxionghu.csv,zoumaicheng.csv,zoumaicheng2.csv
同白,5,4,3,0,0,7,4,0,0,2,2,0,7,0,2,2,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,0,0,0,6,4,0,5,1,0,0,6,0,1,1,0,0,2,3,1,2,13,6,2,9,5,7,4,4,4,0,0,0,2,4,2,1,0,0,0,2,0,0,0,2,16,10,0,1,13,12,0,0,0,4,2,3,0,0,0
白,2,36,24,25,30,10,10,50,22,158,30,10,17,28,65,60,39,35,2,29,11,14,34,5,24,35,25,20,72,6,86,11,40,3,49,7,11,0,2,27,7,44,59,6,8,5,1,1,84,5,8,8,8,79,4,2,3,3,10,0,40,9,7,15,13,33,21,2,6,0,26,17,9,87,79,74,25,52,11,15,195,2,11,21,22,0,17,5,30,13,32,67,75
念,2,1,1,1,1,4,1,5,1,3,1,1,2,1,1,0,2,3,1,1,0,1,0,0,2,2,0,3,1,0,3,1,1,1,2,1,0,0,0,1,2,3,0,0,0,1,2,0,1,1,0,0,0,2,0,1,0,0,1,0,3,0,2,0,1,1,3,0,2,0,1,2,1,4,1,2,1,1,1,2,5,0,1,0,1,0,2,1,0,2,0,1,1
吹腔,0,9,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,5,0,0,0,0,1,8,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1
西皮散板,0,0,2,9,0,0,0,0,5,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,1,0
西皮摇板,0,0,1,2,1,0,0,0,0,0,0,0,7,3,0,0,0,2,1,0,6,0,0,0,0,0,4,1,3,0,1,0,2,0,0,2,6,0,2,1,0,1,3,2,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,5,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0
西皮原板,0,0,1,1,1,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,5,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
唱,0,0,1,0,3,2,1,9,0,5,0,2,0,2,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,2,0,0,1,0,0,2,0,0,2,0,3,0,4,0,0,1,0,0,0,1,1,0,0,0,1,1,2,1,3,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,0,0,0,3,0,0,1,0,1,1
内同白,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0
高拨子散板,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
