唱法/表演方式,次数
白,2540
同白,218
念,108
唱,91
西皮摇板,82
吹腔,52
西皮散板,47
西皮原板,35
西皮快板,28
引子,25
内白,21
内西皮导板,18
西皮流水板,18
西皮导板,16
同笑,13
西皮二六板,13
三笑,12
同念,12
沽美酒,10
吹腔慢板,10
胡十八,10
内同白,9
雁儿落带得胜令,8
同唱,8
庆东原,7
新水令,7
笑,5
高拨子散板,5
尾声,4
驻马听,4
高拨子导板,3
喜迁莺,3
二黄原板,3
沉醉东风,3
西皮快二六板,3
二黄摇板,3
煞尾,3
四块玉,3
刮地风,3
叫头,3
粉蝶儿,3
二黄散板,2
柳叶儿,2
回龙,2
斗鹌鹑,2
上小楼,2
二黄导板,2
水仙子,2
醉花阴,2
哭,2
石榴花,2
尧民歌,2
揽筝琶,2
大引子,2
脱布衫接叨叨令,2
西皮慢二六板,1
高拨子碰板,1
内高拨子导板,1
扑灯蛾,1
上字调新水令,1
西皮垛板,1
西皮过板,1
同三笑,1
叨叨令,1
内,1
风入松,1
诗,1
西皮慢原板,1
斗鹌鹁,1
十二月,1
慢西皮二六板,1
内唱,1
上下楼,1
么篇,1
高拨子慢板,1
西皮慢板,1
锁呐二黄慢板,1
高拨子摇板,1
集贤宾,1
梧叶儿,1
同西皮散板,1
内二黄导板,1
梅花板,1
同梅花板,1
西皮紧板,1
同尾声,1
小上楼,1
慢叫头,1
高拨子回龙,1
高拨子原板,1
