唱法/表演方式,情感分
三笑,0.55
上下楼,0.55
上字调新水令,0.9
上小楼,0.7250000000000001
么篇,0.1
二黄原板,0.6666666666666666
二黄导板,0.55
二黄摇板,0.55
二黄散板,0.325
内,0.55
内二黄导板,0.9
内同白,0.588888888888889
内唱,0.55
内白,0.6000000000000001
内西皮导板,0.5833333333333334
内高拨子导板,0.55
刮地风,0.25
十二月,0.9
叨叨令,0.6333333333333333
叫头,0.55
同三笑,0.55
同唱,0.49375
同尾声,0.55
同念,0.7319444444444444
同梅花板,0.55
同白,0.5756422018348625
同笑,0.55
同西皮散板,0.55
吹腔,0.5707051282051283
吹腔慢板,0.5050000000000001
哭,0.55
唱,0.5319047619047619
喜迁莺,0.45333333333333337
四块玉,0.9
回龙,0.55
大引子,0.9
小上楼,0.9
尧民歌,0.55
尾声,0.48750000000000004
庆东原,0.6500000000000001
引子,0.7468571428571429
念,0.6318438351771685
慢叫头,0.55
慢西皮二六板,0.3666666666666667
扑灯蛾,0.1
揽筝琶,0.5
斗鹌鹁,0.32857142857142857
斗鹌鹑,0.7250000000000001
新水令,0.40714285714285714
柳叶儿,0.325
梅花板,0.1
梧叶儿,0.1
水仙子,0.7250000000000001
沉醉东风,0.5166666666666667
沽美酒,0.5633333333333334
煞尾,0.7833333333333333
白,0.5551401306480047
石榴花,0.7250000000000001
笑,0.55
粉蝶儿,0.29555555555555557
胡十八,0.5850000000000001
脱布衫接叨叨令,0.55
西皮二六板,0.4088034188034188
西皮原板,0.42193650793650794
西皮垛板,0.5
西皮导板,0.534375
西皮快二六板,0.7833333333333333
西皮快板,0.3031462585034014
西皮慢二六板,0.5444444444444445
西皮慢原板,0.9
西皮慢板,0.3666666666666667
西皮摇板,0.5791574279379158
西皮散板,0.5258358662613982
西皮流水板,0.5162962962962963
西皮紧板,0.5
西皮过板,0.55
诗,0.55
醉花阴,0.1
锁呐二黄慢板,0.1
雁儿落带得胜令,0.42500000000000004
集贤宾,0.9
风入松,0.9
驻马听,0.1
高拨子原板,0.9
高拨子回龙,0.55
高拨子导板,0.55
高拨子慢板,0.9
高拨子摇板,0.55
高拨子散板,0.62
高拨子碰板,0.30000000000000004
