角色名,唱法/表演方式,台词,来源文件,字数,情感分
关羽,念,营中鸣鼓角，,10qunanjun.csv,5,0.55
关羽,同白,俺、（关羽）（张飞）。,10qunanjun.csv,5,0.55
关羽,同白,得令！周郎啊，周郎！,10qunanjun.csv,7,0.55
关羽,念,任你纵有鲸吞志，,10qunanjun.csv,7,0.55
关羽,同白,免！,10qunanjun.csv,1,0.55
关羽,同白,得令！,10qunanjun.csv,2,0.55
关羽,同白,啊！,10qunanjun.csv,1,0.55
关羽,白,在。,10qunanjun.csv,1,0.55
关羽,白,得令！,10qunanjun.csv,2,0.55
关羽,白,唉！,10xundi.csv,1,0.55
关羽,吹腔,"这一阵只杀得某力尽气衰，
险些的二弟兄厮杀起来。",10xundi.csv,21,0.1
关羽,白,唔呼呀！原来大雁空中喧哗。当年我弟兄，在徐州失散，大雁空中喧哗，今日古城相见，又来喧哗，真乃奇事也！,10xundi.csv,42,0.55
关羽,吹腔,"南来雁不住地当头叫，
只叫得关云长英雄心内好焦！",10xundi.csv,21,0.55
关羽,白,唤他们进来。,10xundi.csv,5,0.55
关羽,白,到此何事？,10xundi.csv,4,0.55
关羽,白,"看衣更换。
你二人先行回去，我随后即至。",10xundi.csv,16,0.55
关羽,白,带路！,10xundi.csv,2,0.55
关羽,吹腔,"卸连环露出了绿袍甲胄，
大英雄今日里才得出头。
耳边厢又听得人声马吼，",10xundi.csv,30,0.55
关羽,白,啊？,10xundi.csv,1,0.55
关羽,吹腔,是何处军卒们吵闹所为何由？,10xundi.csv,12,0.55
关羽,白,何处人马喧哗？,10xundi.csv,6,0.55
关羽,白,愿降者开名上册，不愿降者，各自散去。,10xundi.csv,15,0.55
关羽,吹腔,"教他们愿降者开名上册，
不愿意归降者赏银两，
叫他们各自逃生。",10xundi.csv,26,0.55
关羽,白,不用，下去！,10xundi.csv,4,0.55
关羽,白,打了下去！,10xundi.csv,4,0.1
关羽,白,带路！,10xundi.csv,2,0.55
关羽,吹腔,"军卒们将队伍且慢来摆，
关二爷一步一步儿走进了城来。",10xundi.csv,23,0.55
关羽,白,大哥！,10xundi.csv,2,0.55
关羽,同白,（大哥）（二弟）呀！,10xundi.csv,5,0.55
关羽,白,"谢座。
马童，见过大爷。",10xundi.csv,8,0.9
关羽,白,折煞小弟了！,10xundi.csv,5,0.55
关羽,白,弟在曹营呵！,10xundi.csv,5,0.55
关羽,白,施礼为何？,10xundi.csv,4,0.9
关羽,白,份内之事，理当效劳。,10xundi.csv,8,0.55
关羽,白,大哥请便。,10xundi.csv,4,0.55
关羽,白,施全礼为何？,10xundi.csv,5,0.9
关羽,白,小弟不敢。,10xundi.csv,4,0.55
关羽,白,小弟越发不敢。,10xundi.csv,6,0.55
关羽,白,弟遵命！,10xundi.csv,3,0.55
关羽,白,请便。,10xundi.csv,2,0.55
关羽,白,唉，心中烦闷，待某看书解闷。,10xundi.csv,11,0.55
关羽,吹腔,"看古书看的是南北交战，
楚汉相争两国为难，
孙庞斗智均都是英雄汉，",10xundi.csv,28,0.9
关羽,白,唉！,10xundi.csv,1,0.55
关羽,吹腔,似这样绝义厮杀，关某何须看它。,10xundi.csv,13,0.30000000000000004
关羽,白,唉！想我在曹营一日，与二嫂三次问安，难道说，来到古城废却此礼不成？待我去到后面，问候二位皇嫂金安。,10xundi.csv,42,0.9
关羽,白,何人在此？,10xundi.csv,4,0.55
关羽,白,我道何人，原来是张三爷！,10xundi.csv,10,0.55
关羽,白,三将军！,10xundi.csv,3,0.55
关羽,白,跪在尘埃，为了何事？,10xundi.csv,8,0.55
关羽,白,自己弟兄，何出此言。三弟快快请起。,10xundi.csv,14,0.55
关羽,白,嗯！好个张三爷，好个三将军！想当年，我弟兄有徐州失散，愚兄困于土山，那曹操差去大将张辽，顺说愚兄降曹。兄宁死不降。皆因不知兄弟存亡，二嫂失在下邳城中，无所依赖。兄万般无奈，与张辽约下三事，曹操件件应允。兄自进曹营，那曹操三日一小宴，五日一大宴，上马献金，下马献银，赠袍赐马，待兄十分恩厚。兄在曹营，无一日不思兄，无一日不想弟。只因兄奉曹操将令，统领人马，攻打汝南，在阵前得遇孙乾先生，言道大哥已在河北袁绍军中。此事未辨真假，恐其有诈，兄回至许昌，闷闷不乐。忽然大哥使陈震先生前来下书，兄连辞曹操，回避高挂，不容相见。兄万般无奈，挂印封金，写柬辞曹，保定二位皇嫂，过关斩将，远路而来。实指望来在古城，弟兄相见。三弟见了愚兄，一言不发，提枪就刺。,10xundi.csv,272,0.33999999999999997
关羽,白,哼，你这一枪刺得不关紧要，险些弟南兄北，各自东西。古城楼上，你赐我三通战鼓，十名小卒，蒙天护佑，我斩了蔡阳。若是斩不了蔡阳，我的性命，断送你手。哎呀，似你这样不讲情义之人，还有什么桃园义气？话已讲明，我要回转蒲州去了！,10xundi.csv,92,0.5571428571428572
关羽,白,大哥！,10xundi.csv,2,0.55
关羽,吹腔,"大哥哥家住在大树楼桑，
小弟我家住在蒲州解良，
三兄弟家住有涿郡范阳，
仁兄弟均都是汉室栋梁。",10xundi.csv,40,0.9
关羽,同白,望空一拜！,10xundi.csv,4,0.9
关羽,同白,正是：,10xundi.csv,2,0.9
关羽,念,徐州失散古城会，,10xundi.csv,7,0.55
关羽,白,大哥是英雄。,10xundi.csv,5,0.55
关羽,同白,啊，哈哈哈！请啊，哈哈哈！,10xundi.csv,9,0.55
关羽,内同白,嗯哼！,11shouguanping.csv,2,0.55
关羽,念,兄南弟北十二春，,11shouguanping.csv,7,0.55
关羽,同白,参见大哥。,11shouguanping.csv,4,0.55
关羽,同白,谢座。唤弟等前来，有何事议论？,11shouguanping.csv,12,0.9
关羽,同白,多谢大哥。,11shouguanping.csv,4,0.9
关羽,白,嗯！周元福，尔自逞步下能行，你可敢随某步行试马？,11shouguanping.csv,20,0.9
关羽,白,好，周元福带马来！,11shouguanping.csv,7,0.9
关羽,西皮散板,"好一关西猛周仓，
步行如飞世无双，
登山越岭如平路，
亚赛风云闪电光。",11shouguanping.csv,28,0.55
关羽,白,元福步行如飞，勇不可当，好一员步行猛将！,11shouguanping.csv,17,0.9
关羽,白,这……某担当不起。,11shouguanping.csv,6,0.55
关羽,白,周仓！速回卧牛山，点齐兵将，同到古城。,11shouguanping.csv,15,0.55
关羽,内高拨子导板,紧勒丝缰阳关上，,11shouguanping.csv,7,0.55
